"Nombre del proyecto","Photo","Nombre Marketing","Ciudad","PLZ","Straße","Standortart","Propietario","Contactperson","Telephone","Email","Ratecard (PRECIO TOTAL)","Media","Producción","Forecasted Sales","Gross Profit blowUP","Magic 7","Date of creation ZD-Project","Último cambio","Estado","Probabilidad","Location Completion Chance","Location Approval Chance","Montaje","Demontaje","1er. Responsable BU","Development Note","GEO_Width","GEO_Length"
"Camp Nou","","Camp Nou","Barcelona","08001","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","10.04.2015","28.06.2016","Negociaciones interrumpidas","50%","25%","75%","01.10.2016","30.04.2017","Ramon, Silvia","","0.000000","0.000000"
"Canalejas 6","","Canalejas 6/Sevilla","Madrid","28001","Canalejas 6/Sevilla","Andamio","","","","","168,235.28 €","158,823.52 €","9,411.76 €","253,805.86 €","78,381.86 €","B","28.07.2008","17.09.2009","Contrato firmado","100%","","","01.12.2009","31.05.2010","Arrogante, Juanjo Martinez","","40.416468","-3.700698"
"Capellans 2","","Capellans 2","Barcelona","08002","Carrer de Capellans 2","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","29.06.2022","30.06.2022","Emplazamiento introducido","50%","50%","50%","01.09.2023","31.12.2023","Canela, Miguel","","41.000000","2.000000"
"Capitán Haya 1","","Capitán Haya 1","Madrid","s","Capitán Haya 1","Andamio","","","","","185,000.00 €","140,000.00 €","45,000.00 €","302,250.00 €","281,820.00 €","C","24.10.2006","09.05.2018","Negociaciones interrumpidas","25%","25%","25%","01.05.2018","23.05.2018","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Carabias, 1","","Ctra. Boadilla dirección Madrid (Carabias, 1)","Madrid","28024","Carabias, 1","Medianera","Eduardo Palomo Escarabajano","","649504465","eduardo@rianovillalon.es","5,325.00 €","2,600.00 €","2,325.00 €","105,618.00 €","26,445.00 €","B","14.07.2022","01.12.2022","Emplazamiento introducido","50%","100%","75%","01.10.2022","01.10.2025","Aumente, Alfonso","01.12.2022 Aumente, Alfonso (Others): Firmado","40.234651","3.455794"
"Carranza, 11","","Carranza, 11","Madrid","28004","Carranza, 11","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","15.03.2022","16.03.2022","Emplazamiento introducido","50%","50%","75%","01.03.2022","31.08.2022","Aumente, Alfonso","","40.254474","3.421376"
"Carrer Consell de Cent 236","","Casa China","Barcelona","08011","Carrer Consell de Cent 236","Andamio","","","","","178,214.00 €","165,000.00 €","6,200.00 €","138,628.00 €","50,366.68 €","B","21.02.2022","13.02.2023","Negociaciones interrumpidas","50%","50%","75%","01.03.2023","31.08.2023","Canela, Miguel","","0.000000","0.000000"
"Carrera San Jeronimo, 44","","Carrera San Jeronimo, 44","Madrid","28014","Carrera San Jeronimo, 44","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","01.12.2022","02.12.2022","Emplazamiento introducido","50%","50%","75%","01.09.2023","31.12.2023","Aumente, Alfonso","","0.000000","0.000000"
"Carretas 14- Jacinto Benavente","","Carretas 14- Jacinto Benavente","Madrid","28003","Carretas 14- Jacinto Benavente","Andamio","URBANFINCAS. Jose María Sainz","","915324137","urbanfincas@urbanfincas.com","173,231.47 €","130,000.00 €","29,176.47 €","478,830.00 €","134,899.00 €","A","12.12.2018","13.08.2021","Oferta presentada","50%","50%","50%","01.04.2022","31.12.2022","Carranza, Laura","28.06.2019 Carranza, Laura (Dev Note): property manager answers. Thanks. No refurbishment right now but they will count on us when it comes to it","0.000000","0.000000"
"CARRETAS 3","","CARRETAS 3","Madrid","28005","CARRETAS 3","Andamio","","","","","265,196.00 €","250,000.00 €","9,670.00 €","246,687.00 €","69,429.90 €","A","21.04.2021","21.04.2021","Emplazamiento introducido","50%","50%","50%","01.09.2021","31.12.2021","Carranza, Laura","23.06.2021 Carranza, Laura (Others): de momento no quieren poner publi. Interferirá con los negocios. Además tuvieron una mala experiencia y no quieren saber nada. Seguiré trabajando para futuros","0.000000","0.000000"
"Carretas 33","","Plaza Jacinto Benavente/Calle Carretas","Madrid","28013","","Andamio","","","","","114,385.00 €","95,000.00 €","14,200.00 €","135,670.00 €","110,068.00 €","B","09.05.2014","29.07.2014","Perdido ante la competencia","50%","50%","50%","01.03.2015","31.05.2015","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"CARRETAS 5","","CARRETAS 5","Madrid","28003","CARRETAS 5","Andamio","","","","","237,115.00 €","230,000.00 €","5,213.00 €","184,001.10 €","80,633.85 €","A","21.04.2021","21.04.2021","Emplazamiento introducido","50%","50%","50%","01.09.2021","31.12.2021","Carranza, Laura","23.06.2021 Carranza, Laura (Others): de momento no quieren poner publi. Interferirá con los negocios. Además tuvieron en el 3 una mala experiencia y no quieren saber nada. Seguiré trabajando para futuros","0.000000","0.000000"
"Carretas 7","","Carretas 7","Madrid","28003","Carretas 7","Andamio","","","","","209,903.00 €","200,000.00 €","6,327.00 €","111,020.60 €","67,915.90 €","A","22.04.2021","22.04.2021","Emplazamiento introducido","50%","50%","50%","01.09.2021","31.12.2021","Carranza, Laura","23.06.2021 Carranza, Laura (Others): de momento no quieren poner publi. Interferirá con los negocios. Además tuvieron, en el 3, una mala experiencia y no quieren saber nada. Seguiré trabajando para futuros","0.000000","0.000000"
"Cartagena 187 /Aragó","","Catagena 187 / Aragó","Barcelona","08013","","Andamio","Balmes 370","","934053976","info@imapinmobiliario.com","2,000.00 €","0.00 €","1,000.00 €","0.00 €","0.00 €","C","03.08.2021","21.04.2022","Oferta presentada","50%","50%","50%","01.12.2021","31.05.2022","Canela, Miguel","","41.405060","2.182390"
"Casanova 209","","CASANOVA 209","Barcelona","08037","","Andamio","GENERALI","Victor Nieto","91-3301400","victor.nieto@gre.generali.es","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","15.02.2013","13.06.2013","Negociaciones interrumpidas","25%","","","01.06.2013","30.11.2013","Ramon, Silvia","","0.000000","0.000000"
"Casanovas 57 Diputación","","Casanovas 57 Diputación","Barcelona","08011","Carrer Casanovas 57","Andamio","Balmes 370","JORDI CHARLES","934053976","jordicharles10@gmail.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","31.10.2022","13.02.2023","Negociaciones interrumpidas","75%","100%","100%","01.12.2022","31.03.2023","Canela, Miguel","","41.000000","2.000000"
"Castellana 102","","Castellana 102","Madrid","015","","Andamio","","","","","134,000.00 €","110,000.00 €","24,000.00 €","158,600.00 €","84,550.00 €","C","27.11.2008","01.07.2011","Negociaciones interrumpidas","50%","","","01.01.2010","30.04.2010","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Castellana 107","","Castellana 107","Madrid","01","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","03.01.2006","19.06.2012","Negociaciones interrumpidas","","","","01.06.2012","30.06.2012","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Castellana 113","","Castellana 113","Madrid","28046","","Andamio","","","","","110,000.00 €","95,000.00 €","15,000.00 €","133,250.00 €","48,570.00 €","","11.05.2007","01.08.2007","Contrato firmado","","","","15.09.2015","30.04.2016","Arrogante, Juanjo Martinez","","41.456628","-3.690988"
"Castellana 119","","Castellana 119","Madrid","05","Castellana 119","Andamio","","","","","141,000.00 €","115,000.00 €","26,000.00 €","258,050.00 €","223,500.00 €","B","12.03.2007","01.07.2011","Negociaciones interrumpidas","","","","01.01.2011","31.03.2011","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"castellana 144","","Castellana 144 - Edificio Feygon","Madrid","28001","","Andamio","","","","","233,306.47 €","160,000.00 €","41,176.47 €","435,390.00 €","161,320.00 €","C","02.02.2016","13.04.2016","Perdido ante la competencia","50%","50%","100%","01.03.2016","31.08.2016","Carranza, Laura","","0.000000","0.000000"
"castellana 144","","Castellana 144 - Edificio Feygon - Bernabeu","Madrid","28001","","Andamio","","","","","181,252.06 €","135,000.00 €","27,647.06 €","338,940.00 €","118,755.60 €","C","02.02.2016","13.04.2016","Perdido ante la competencia","50%","50%","100%","01.03.2016","31.08.2016","Carranza, Laura","","0.000000","0.000000"
"Castellana 192","","Paseo de la Castellana 192/Plaza de Castilla","Madrid","01","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","12.04.2013","05.06.2013","Negociaciones interrumpidas","50%","","","01.09.2013","31.12.2013","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Castellana 205","","Castellana 205-207/Plaza de Castilla","Madrid","00","Castellana 205-207","Andamio","","","","","96,470.59 €","70,588.24 €","25,882.35 €","62,705.88 €","44,285.68 €","C","28.11.2008","05.01.2009","Contrato firmado","100%","","","01.01.2009","30.04.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Castellana 36 - 38","","Paseo de la Castellana 36/Puente Eduardo Dato","Madrid","28006","","Andamio","","","","","117,000.00 €","85,000.00 €","20,000.00 €","62,725.00 €","-12,255.00 €","B","19.01.2012","19.06.2012","Perdido ante la competencia","","","","01.03.2012","30.06.2012","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Castellana 55","","Castellana 55","Madrid","28001","","Andamio","","","","","148,259.41 €","125,000.00 €","13,529.41 €","190,252.50 €","28,902.20 €","C","05.05.2017","23.03.2018","Perdido ante la competencia","50%","50%","100%","01.03.2018","31.08.2018","Carranza, Laura","12.09.2017 Carranza, Laura (Others): mail a propidad, Luis. Me dice que están con la licencia y que cuando las reciban se ponen en contacto. ","0.000000","0.000000"
"Castellana 68/María de Molina","","Castellana 68","Madrid","28001","Castellana 68","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","03.01.2006","09.02.2022","Emplazamiento introducido","50%","50%","50%","01.09.2022","31.08.2023","Carranza, Laura","25.01.2006 Arrogante, Juanjo Martinez (): procon, Javier Muro 914322770, fax. 915755435","0.000000","0.000000"
"Castellana 81","","Paseo de la Castellana 81/Nuevos Ministerios","Madrid","28006","","Andamio","","","","","426,470.59 €","350,000.00 €","76,470.59 €","1,178,125.01 €","480,575.01 €","A","27.03.2015","11.06.2015","Perdido ante la competencia","50%","50%","50%","01.10.2015","31.03.2016","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Castellana 82","","Castellana 82","Madrid","28046","Castellana 82","Andamio","","","","","167,291.00 €","145,000.00 €","15,941.00 €","275,349.40 €","108,749.40 €","A","12.06.2019","06.02.2020","Emplazamiento introducido","50%","50%","50%","01.11.2020","30.04.2021","Carranza, Laura","12.06.2019 Carranza, Laura (Dev Note): first contact, no interest. I have proposed the property manager to work in an offer to present the landlords","0.000000","0.000000"
"castellana 84","","castellana 84","Madrid","28046","castellana 84","Andamio","","","","","162,306.00 €","140,000.00 €","15,941.00 €","201,494.55 €","168,725.55 €","A","11.06.2019","06.02.2020","Emplazamiento introducido","50%","50%","50%","01.09.2020","28.02.2021","Carranza, Laura","","0.000000","0.000000"
"Castellana 86","","Castellana 86","Madrid","28046","Castellana 86","Medianera","","","","","197,887.00 €","175,000.00 €","15,887.00 €","384,707.25 €","173,483.25 €","A","11.06.2019","13.08.2021","Perdido ante la competencia","50%","50%","50%","01.09.2020","31.12.2020","Carranza, Laura","28.06.2019 Carranza, Laura (Dev Note): need to prepare offers. Waiting for last feedback from sales","0.000000","0.000000"
"Castellana 95","","Torre Europa/Castellana 95","Madrid","08","","Andamio","","","","","175,000.00 €","150,000.00 €","25,000.00 €","284,050.00 €","86,385.00 €","A","23.03.2011","10.02.2012","Perdido ante la competencia","","","","01.10.2011","31.03.2012","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Castellana 96","","Castellana 96","Madrid","28046","Castellana 96","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","12.06.2019","13.06.2019","Emplazamiento introducido","50%","50%","50%","01.10.2020","31.03.2021","Carranza, Laura","","0.000000","0.000000"
"Castellana 96","","Castellana 96","Madrid","01","Castellana 96","Andamio","","","","","27,500.00 €","0.00 €","27,500.00 €","0.00 €","-3,300.00 €","","07.05.2007","20.12.2007","Perdido ante la competencia","","","","03.12.2007","05.12.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Castellana 96","","Castellana 96","Madrid","01","Castellana 96","Andamio","","","","","145,000.00 €","120,000.00 €","25,000.00 €","344,500.00 €","316,200.00 €","","27.04.2007","20.12.2007","Perdido ante la competencia","","","","01.11.2007","29.02.2008","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Castellana/Edificio Vella","","Castellana/Edificio Vella","Madrid","","Castellana/Edificio Vella","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-1,300.00 €","","03.01.2006","03.01.2006","Perdido ante la competencia","","","","02.01.2006","30.06.2006","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Castellana/General Perón","","Castellana/General Perón","Madrid","0","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-150,000.00 €","B","12.11.2008","09.05.2018","Negociaciones interrumpidas","25%","25%","25%","01.11.2009","31.12.2009","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Catedral 3","","Catedral 3","Barcelona","08002","","Andamio","ROS","Héctor Ros Guinot","93-2378444","h.ros@finqueros.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","08.05.2018","11.05.2018","Negociaciones interrumpidas","50%","50%","50%","01.01.2019","30.04.2019","Ramon, Silvia","","41.384732","2.175350"
"Catedral 4","","Catedral 4","Barcelona","08002","","Andamio","","","","","242,602.24 €","225,000.00 €","10,588.24 €","351,792.01 €","131,945.01 €","B","19.01.2016","24.05.2016","Contrato firmado","100%","50%","100%","01.02.2018","30.06.2018","Carranza, Laura","","41.384470","2.176409"
"Catedral BCN","","Catedral BCN","Barcelona","08002","Pla de la Catedral s/n","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","A","03.02.2022","15.07.2022","Emplazamiento introducido","50%","50%","75%","15.06.2022","15.06.2023","Canela, Miguel","","0.000000","0.000000"
"CC Barnasud","","CC Barnasud","Barcelona","08850","","Medianera","","","","","13,500.00 €","11,000.00 €","2,500.00 €","8,775.00 €","7,295.00 €","","16.02.2006","29.01.2007","Contrato firmado","","","","01.01.2006","31.12.2007","Morata, Rosi","","0.000000","0.000000"
"CC Gran Via 2","","CC Gran Via 2","Barcelona","08908","","Medianera","","","","","13,500.00 €","11,000.00 €","2,500.00 €","8,775.00 €","7,564.00 €","","16.02.2006","26.02.2007","Contrato firmado","","","","01.01.2006","31.12.2006","Morata, Rosi","","0.000000","0.000000"
"CC Llobregat Center","","CC Llobregat ","Barcelona","08940","","Medianera","","","","","13,500.00 €","11,000.00 €","2,500.00 €","8,775.00 €","7,383.00 €","","16.02.2006","29.01.2007","Contrato firmado","","","","01.01.2006","11.07.2007","Morata, Rosi","","0.000000","0.000000"
"CC Montigalà","","CC Montigalà","Barcelona","08917","","Medianera","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","","16.02.2006","29.01.2007","Contrato firmado","","","","01.01.2006","31.12.2007","Morata, Rosi","","0.000000","0.000000"
"CC Montigalà","","CC Montigalà II","Barcelona","08917","","Medianera","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","","16.02.2006","29.01.2007","Contrato firmado","","","","01.01.2006","31.12.2007","Morata, Rosi","","0.000000","0.000000"
"CC Montserrat","","CC Montserrat","Barcelona","08630","","Medianera","","","","","13,500.00 €","11,000.00 €","2,500.00 €","8,775.00 €","7,165.00 €","","30.11.2006","05.02.2007","Contrato firmado","","","","01.01.2007","11.07.2007","Morata, Rosi","","0.000000","0.000000"
"Cea Bermúdez 46 ","","Cea Bermúdez 46 6 months","Madrid","28003","Cea Bermúdez 46","Andamio","Javier Sanchez-Ávila","","914465393","gestoria@sanchezavila.es","128,830.58 €","120,000.00 €","6,470.58 €","145,079.98 €","43,642.98 €","B","07.02.2019","05.03.2019","Contrato firmado","100%","50%","50%","01.04.2019","30.09.2019","Carranza, Laura","","0.000000","0.000000"
"Cea Bermúdez 46 ","","Cea Bermúdez 46 4 months","Madrid","28000","","Andamio","Javier Sanchez-Ávila","","914465393","gestoria@sanchezavila.es","132,428.00 €","120,000.00 €","9,000.00 €","103,156.00 €","34,738.00 €","B","07.02.2019","05.03.2019","Contrato firmado","100%","50%","75%","01.04.2019","05.08.2019","Carranza, Laura","","40.439177","-3.711927"
"Centre Comercial El Triangle","","Centre Comercial el Triangle","Barcelona","08001","plaça catalunya 1","Centro Comercial","MARGECING","","93 319 29 90","sergimas@margecinc.com","25,000.00 €","23,500.00 €","1,500.00 €","41,876.25 €","40,676.25 €","A","13.02.2013","14.02.2013","Contrato firmado","100%","","","01.03.2013","31.12.2014","Ramon, Silvia","","41.386005","2.169416"
"Centro Comercial Bulevar Getafe","","Centro Comercial Bulevar Getafe","Madrid","28903","","Medianera","","","","","2,640.00 €","0.00 €","2,640.00 €","0.00 €","0.00 €","","29.03.2006","02.04.2007","Contrato firmado","","","","01.04.2006","17.07.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Centro Comercial Las Rosas","","Centro Comerical Las Rosas","Madrid","28022","","Medianera","","","","","2,310.00 €","0.00 €","2,310.00 €","0.00 €","0.00 €","","21.02.2006","02.04.2007","Contrato firmado","","","","01.11.2003","31.12.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Centro Comercial Madrid Sur","","Centro Comercial Madrid Sur","Madrid","28013","","Medianera","","","","","1,925.00 €","0.00 €","1,925.00 €","0.00 €","0.00 €","","29.03.2006","23.05.2007","Contrato firmado","","","","01.04.2006","17.07.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Cervantes 2","","Cervantes 2","Barcelona","08912","Calle Cervantes 2","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","26.04.2022","27.04.2022","Emplazamiento introducido","50%","50%","50%","01.06.2022","31.10.2022","Canela, Miguel","","41.000000","2.000000"
"Ciudad Rodrigo 6- Plaza San Miguel","","Ciudad Rodrigo 6- Plaza San Miguel","Madrid","28013","Ciudad Rodrigo 6- Plaza San Miguel","Andamio","Adm. Javier Baeza","","915520052","af@afuencarral.es","218,895.52 €","210,000.00 €","5,223.52 €","371,309.96 €","200,029.96 €","A","13.02.2019","20.09.2019","Oferta presentada","50%","50%","50%","01.09.2020","28.02.2021","Carranza, Laura","28.06.2019 Carranza, Laura (Dev Note): need to go deeper into it and make a propossal to the landlord","0.000000","0.000000"
"Ciudad Rodrigo 6- Plaza San Miguel","","Ciudad Rodrigo 6- Plaza San Miguel. 4 months","Madrid","28003","Ciudad Rodrigo 6- Plaza San Miguel","Andamio","Adm. Javier Baeza","","915520052","af@afuencarral.es","218,895.52 €","210,000.00 €","5,223.52 €","222,785.98 €","118,673.98 €","A","13.02.2019","20.09.2019","Oferta presentada","50%","50%","50%","01.04.2020","31.08.2020","Carranza, Laura","28.06.2019 Carranza, Laura (Dev Note): need to go deeper into it and make a propossal to the landlord","0.000000","0.000000"
"Claret 230","","Claret 230","Barcelona","08025","Sant antoni maria claret 230","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","06.10.2022","20.12.2022","Negociaciones interrumpidas","50%","50%","50%","01.12.2022","31.03.2023","Canela, Miguel","","0.000000","0.000000"
"Claret 231 - 233","","Claret 231 - 233","Barcelona","08041","Sant Antoni Maria Claret 231","Andamio","Montserrat","Montserrat Porrata","932151500","mporrata@finquesgascon.cat","139,628.00 €","125,000.00 €","10,245.00 €","105,756.00 €","48,870.00 €","C","29.01.2022","31.10.2022","Contrato firmado","100%","100%","100%","18.11.2022","30.04.2023","Canela, Miguel","","41.000000","2.000000"
"Claudio Coello 78","","Claudio Coello 78","Madrid","28001","","Andamio","","","","","125,276.23 €","90,000.00 €","20,588.23 €","277,251.98 €","195,987.98 €","C","24.04.2017","14.03.2019","Negociaciones interrumpidas","50%","50%","100%","01.01.2019","30.04.2019","Carranza, Laura","","0.000000","0.000000"
"Colegiata 18","","Colegiata 18","Madrid","28012","Colegiata 18","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","14.03.2019","13.06.2019","Emplazamiento introducido","50%","50%","50%","01.04.2020","30.09.2020","Carranza, Laura","28.06.2019 Carranza, Laura (Dev Note): need to come into touch with the landlord","0.000000","0.000000"
"Colegiata 19","","Colegiata 19","Madrid","28003","Colegiata 19","Andamio","AGEFISA","Federico Liberatore","915179060","","136,638.76 €","120,000.00 €","11,411.76 €","166,280.99 €","50,872.98 €","B","22.01.2019","22.12.2021","Contrato firmado","100%","50%","50%","01.04.2022","30.06.2022","Carranza, Laura","23.06.2021 Carranza, Laura (Others): Parece que podría comenzar en breve. Están cerrando constructora. EStimo oct 2021","40.413301","-3.707379"
"Colón 1","","Fuencarral/Colón","Madrid","28013","","Andamio","","","","","75,338.53 €","65,000.00 €","8,823.53 €","71,655.00 €","35,545.02 €","B","28.04.2015","18.01.2016","Contrato firmado","100%","50%","50%","01.02.2016","31.10.2016","Arrogante, Juanjo Martinez","","40.419818","-3.708182"
"Colón 50","","Colón 50","Valencia","46004","","Medianera","","","","","43,000.00 €","36,000.00 €","7,000.00 €","27,950.00 €","21,980.00 €","C","31.05.2006","19.06.2012","Negociaciones interrumpidas","","","","15.09.2006","06.11.2006","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Comerç 27 / Pl. Comercial","","Comerç 27 / Pl. Comercial","Barcelona","08003","","Andamio","ELIX","Diana Salarich","93-2173801","diana.salarich@elix.es","139,719.88 €","120,000.00 €","12,705.88 €","233,255.99 €","56,130.83 €","B","15.05.2018","14.01.2019","Perdido ante la competencia","75%","50%","75%","01.06.2019","30.11.2019","Ramon, Silvia","","0.000000","2.184321"
"Comerç 60","","Comerç 60 / Mercat del Born","Barcelona","08001","","Andamio","Laborde","Miquel Laborde","933183663","mlaborde@labordemarcet.com","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","13.03.2015","07.05.2018","Negociaciones interrumpidas","25%","25%","100%","02.06.2015","31.10.2015","Ramon, Silvia","","0.000000","0.000000"
"COMPLEJO  BAUSÁ 21","","CALLE BAUSÁ 21","Madrid","28000","CALLE BAUSÁ 21","Medianera","","","","","733,000.00 €","175,000.00 €","164,000.00 €","1,236,300.00 €","910,132.00 €","A","03.08.2021","20.10.2023","Emplazamiento introducido","50%","50%","50%","15.10.2023","31.01.2025","Carranza, Laura","","0.000000","0.000000"
"COMPLEJO  BAUSÁ 21","","Bausá Hyundai","Madrid","28000","Bausá 21","Medianera","","","","","528,155.00 €","520,000.00 €","97,492.00 €","186,829.08 €","83,086.08 €","A","03.08.2021","20.10.2023","Emplazamiento introducido","50%","50%","100%","01.11.2023","30.11.2023","Carranza, Laura","","0.000000","0.000000"
"COMPLEJO  BAUSÁ 21","","Copy of Bausá Hyundai","Madrid","28000","Bausá 21","Medianera","","","","","528,155.00 €","520,000.00 €","97,492.00 €","186,829.08 €","87,986.08 €","A","03.08.2021","20.10.2023","Emplazamiento introducido","50%","50%","100%","01.11.2023","30.11.2023","Carranza, Laura","","0.000000","0.000000"
"Compte Borrell 179","","Compte Borret 179","Barcelona","08001","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","06.05.2013","21.01.2014","Negociaciones interrumpidas","25%","25%","100%","02.09.2013","28.02.2014","Ramon, Silvia","","0.000000","0.000000"
"Comtal, 2","","Comtal, 2 / Portal de l'Angel","Barcelona","08002","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","09.03.2009","10.06.2009","Perdido ante la competencia","0%","","","01.05.2009","31.07.2009","Morata, Rosi","","0.000000","0.000000"
"Comte Urgell 12","","Comte Urgell 12","Barcelona","08011","Carrer del Comte d'Urgell, 12","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","14.06.2022","15.06.2022","Emplazamiento introducido","50%","50%","50%","01.07.2022","31.07.2022","Canela, Miguel","","41.000000","2.000000"
"Concha Espina 6- Bernabeu","","Concha Espina 6","Madrid","28016","Concha Espina 6","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","B","10.01.2019","02.04.2019","validado por ventas","50%","50%","50%","01.12.2019","31.07.2020","Carranza, Laura","11.03.2019 Carranza, Laura (Dev Note): sales rejects it. Need to check with Jose as it was on the focus","0.000000","0.000000"
"Concha Espina 69","","Concha Espina 69","Madrid","28016","","Medianera","","","","","134,000.00 €","90,000.00 €","44,000.00 €","204,100.00 €","183,885.00 €","","20.12.2005","25.01.2007","Contrato firmado","","","","01.02.2006","02.04.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Concha Espina 8","","Concha Espina 8 - pequeño","Madrid","28001","","Andamio","","","","","121,949.00 €","90,000.00 €","20,000.00 €","228,597.00 €","82,489.10 €","C","11.03.2016","26.03.2018","Negociaciones interrumpidas","50%","50%","50%","01.05.2016","31.10.2016","Carranza, Laura","","0.000000","0.000000"
"Concha Espina 8","","Concha Espina 8 - torre","Madrid","28006","","Andamio","","","","","138,229.18 €","95,000.00 €","22,941.18 €","268,989.01 €","95,149.61 €","C","11.03.2016","26.03.2018","Negociaciones interrumpidas","50%","50%","50%","01.05.2016","31.10.2016","Carranza, Laura","","0.000000","0.000000"
"Concha Espina, 12","","Concha Espina, 12","Madrid","28036","Concha Espina, 12","Andamio","Fernando García Ortega Presidente","","629706227","FERNANDO GARCIA ORTEGA <fgarciaortega@gmail.com>","156,965.00 €","130,000.00 €","19,065.00 €","133,490.00 €","62,434.00 €","A","18.10.2022","31.10.2022","Contrato firmado","100%","100%","100%","01.02.2023","01.06.2023","Carranza, Laura","","0.000000","0.000000"
"Condado de Treviño 2","","Condado de Treviño 2","Madrid","28033","Condado de Treviño 2","Medianera","ALUMAN SL","","686731764","jcea@grupoaluman.com","243,550.00 €","220,000.00 €","23,550.00 €","166,780.00 €","92,530.00 €","A","26.01.2021","26.02.2021","Contrato firmado","100%","100%","100%","26.01.2021","31.07.2021","Carranza, Laura","","40.476974","-3673129.000000"
"Conde de Peñalver/Hermosilla","","Conde de Peñalver/Hermosilla","Madrid","28006","","Medianera","","","","","66,600.00 €","49,000.00 €","17,600.00 €","43,290.00 €","34,080.00 €","","03.01.2007","25.01.2007","Contrato firmado","","","","01.02.2007","02.04.2007","Arrogante, Juanjo Martinez","","0.000000","0.000000"
"Conde Peñalver, 88","","Conde Peñalver, 88","Madrid","28006","Conde Peñalver, 88","Andamio","","","","","173,700.00 €","150,000.00 €","16,900.00 €","139,200.00 €","60,626.10 €","A","13.07.2023","19.09.2023","Emplazamiento introducido","50%","50%","75%","01.09.2023","31.12.2023","Aumente, Alfonso","","40.260098","3.402865"
"Corazón de María 30","","Avenida de América/Acceso Aeropuerto","Madrid","28006","","Andamio","","","","","75,588.23 €","65,000.00 €","10,588.23 €","85,589.70 €","29,739.70 €","C","08.04.2010","20.04.2010","Contrato firmado","100%","","","01.01.2012","31.07.2012","Arrogante, Juanjo Martinez","","40.441047","-3.670438"
"Corcega 302-304","","Corsega 302-304 / Palau Robert","Barcelona","08037","","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","0.00 €","C","29.06.2012","05.03.2013","Negociaciones interrumpidas","25%","","","01.10.2012","30.06.2013","Ramon, Silvia","","0.000000","0.000000"
"Costa Rica 1","","Costa Rica 1","Madrid","","Costa Rica 1","Andamio","","","","","0.00 €","0.00 €","0.00 €","0.00 €","-1,300.00 €","","03.01.2006","25.05.2007","Negociaciones interrumpidas","","","","01.02.2006","30.04.2006","Arrogante, Juanjo Martinez","","0.000000","0.000000"
